city_slug,state,status,plumber_count,page_count,impressions,clicks,best_position,page_types
louisville,KY,empty,0,1,81,0,42.1,"emergency-plumbers"
abingdon,VA,empty,0,1,69,0,36.1,"emergency-plumbers"
glendale,CA,empty,0,1,34,0,35.0,"emergency-plumbers"
fairfield,OH,empty,0,1,28,0,10.6,"emergency-plumbers"
el-cajon,CA,empty,0,2,24,0,38.9,"same-day-plumber,toilet-repair"
sanford,FL,empty,0,1,21,0,25.4,"emergency-plumbers"
lawrenceville,GA,empty,0,1,18,0,44.5,"emergency-plumbers"
cleveland,TN,empty,0,2,15,0,28.0,"clogged-drain,same-day-plumber"
newberg,OR,empty,0,1,12,0,22.3,"emergency-plumbers"
brooklyn-park,MN,empty,0,1,11,0,20.8,"emergency-plumbers"
encinitas,CA,empty,0,1,11,0,13.5,"repiping"
stevens-point,WI,empty,0,1,9,0,25.7,"emergency-plumbers"
spring,TX,empty,0,1,9,0,50.6,"faucet-repair"
ceres,CA,empty,0,2,7,0,58.5,"plumber-cost,repiping"
myrtle-beach,SC,empty,0,1,6,0,10.7,"sump-pump-repair"
davie,FL,empty,0,1,5,0,18.8,"clogged-drain"
box-elder,SD,empty,0,1,4,1,9.0,"emergency-plumbers"
pigeon-forge,TN,empty,0,1,4,0,6.0,"emergency-plumbers"
sumter,SC,empty,0,1,4,0,23.0,"sump-pump-repair"
haverhill,MA,empty,0,1,3,0,48.7,"licensed-plumber"
vacaville,CA,empty,0,1,2,0,60.0,"emergency-plumbers"
trumbull,CT,empty,0,1,2,0,46.5,"emergency-plumbers"
ashland,OR,empty,0,1,2,0,65.5,"emergency-plumbers"
pendleton,OR,empty,0,1,2,0,49.0,"emergency-plumbers"
baytown,TX,empty,0,1,2,0,46.5,"faucet-repair"
reading,PA,empty,0,1,2,0,11.5,"plumber-cost"
garland,TX,empty,0,1,1,0,90.0,"24-hour-plumber"
wasilla,AK,empty,0,1,1,0,49.0,"emergency-plumbers"
amsterdam,NY,empty,0,1,1,0,9.0,"emergency-plumbers"
castle-rock,CO,empty,0,1,1,0,80.0,"toilet-repair"
west-palm-beach,FL,empty,0,1,1,0,34.0,"water-heater-repair"
aberdeen,MD,populated,7,2,2085,0,10.2,"24-hour-plumber,emergency-plumbers"
nashville,TN,populated,18,1,1807,1,22.3,"emergency-plumbers"
aiken,SC,populated,8,3,1741,0,20.7,"emergency-plumbers,plumber-cost,sewer-repair"
alameda,CA,populated,27,3,1045,0,15.6,"emergency-plumbers,sewage-backup,water-heater-repair"
abilene,TX,populated,17,1,932,0,34.1,"emergency-plumbers"
acworth,GA,populated,18,1,839,0,36.9,"emergency-plumbers"
prescott-valley,AZ,populated,18,1,504,0,14.6,"emergency-plumbers"
huntsville,AL,populated,19,2,421,0,27.1,"emergency-plumbers,slab-leak-repair"
lake-zurich,IL,populated,126,3,262,0,34.5,"cheap-plumber,clogged-drain,water-heater-repair"
worcester,MA,populated,18,1,223,0,17.4,"emergency-plumbers"
lompoc,CA,populated,10,1,210,0,15.0,"emergency-plumbers"
stow,OH,populated,32,3,197,0,12.8,"24-hour-plumber,emergency-plumbers,sump-pump-repair"
hanover-park,IL,populated,123,2,179,0,6.3,"emergency-plumbers,same-day-plumber"
cicero,IL,populated,36,3,175,0,16.5,"gas-line-repair,same-day-plumber,water-leak"
bartlett,IL,populated,126,1,148,1,28.7,"24-hour-plumber"
salt-lake-city,UT,populated,20,3,143,0,13.6,"emergency-plumbers,licensed-plumber,plumber-cost"
fort-collins,CO,populated,17,1,142,0,15.7,"emergency-plumbers"
cedar-park,TX,populated,20,1,136,0,62.5,"cheap-plumber"
reston,VA,populated,28,1,131,0,37.6,"24-hour-plumber"
baltimore,MD,populated,8,1,126,0,65.4,"licensed-plumber"
schaumburg,IL,populated,126,1,126,0,60.5,"water-heater-repair"
murfreesboro,TN,populated,2,4,125,0,16.3,"clogged-drain,plumber-cost,sewage-backup,water-line-repair"
georgetown,TX,populated,17,4,117,0,25.6,"drain-cleaning,faucet-repair,low-water-pressure,plumber-cost"
vallejo,CA,populated,2,2,110,0,10.6,"24-hour-plumber,sewer-repair"
arlington,TX,populated,19,2,102,0,24.9,"emergency-plumbers,repiping"
dallas,TX,populated,3,3,90,0,8.7,"cheap-plumber,repiping,toilet-repair"
greer,SC,populated,20,2,89,0,25.1,"emergency-plumbers,plumber-cost"
lakewood,CO,populated,35,2,86,0,29.6,"hydro-jetting,sewer-line-replacement"
brandon,FL,populated,17,5,78,0,4.0,"bathroom-remodel-plumbing,burst-pipe-repair,emergency-plumbers,plumber-cost,water-leak"
lampasas,TX,populated,4,5,78,0,10.0,"emergency-plumbers,garbage-disposal-repair,plumber-cost,sewer-repair,water-heater-repair"
evanston,IL,populated,39,1,77,0,41.7,"drain-cleaning"
westminster,CO,populated,42,3,76,0,9.0,"emergency-plumbers,kitchen-remodel-plumbing,low-water-pressure"
mount-prospect,IL,populated,102,1,66,0,27.5,"water-heater-repair"
ashburn,VA,populated,17,1,65,0,16.0,"clogged-drain"
san-leandro,CA,populated,27,2,65,0,6.0,"emergency-plumbers,gas-line-repair"
arlington-heights,IL,populated,112,3,64,0,11.0,"24-hour-plumber,plumber-cost,water-line-repair"
crystal-lake,IL,populated,111,1,64,0,38.6,"water-heater-repair"
pflugerville,TX,populated,17,1,61,0,21.5,"24-hour-plumber"
carrollton,TX,populated,2,2,61,0,55.9,"emergency-plumbers,frozen-pipes"
yukon,OK,populated,29,1,58,0,13.3,"emergency-plumbers"
wadsworth,OH,populated,32,5,57,0,1.0,"emergency-plumbers,kitchen-remodel-plumbing,low-water-pressure,no-hot-water,repiping"
edmond,OK,populated,30,1,56,0,17.2,"emergency-plumbers"
provo,UT,populated,18,3,55,0,15.1,"emergency-plumbers,hydro-jetting,sewer-line-replacement"
irving,TX,populated,19,2,54,0,33.7,"24-hour-plumber,water-line-repair"
leander,TX,populated,20,1,50,0,45.0,"water-heater-repair"
batavia,IL,populated,87,2,45,0,35.2,"sewage-backup,toilet-repair"
westerville,OH,populated,6,2,43,0,9.3,"24-hour-plumber,licensed-plumber"
northglenn,CO,populated,43,2,43,0,21.8,"emergency-plumbers,faucet-repair"
west-jordan,UT,populated,19,4,42,0,14.4,"emergency-plumbers,garbage-disposal-repair,gas-line-repair,hydro-jetting"
franklin,TN,populated,13,1,42,0,16.1,"sump-pump-repair"
germantown,MD,populated,23,3,40,0,23.0,"burst-pipe-repair,frozen-pipes,toilet-repair"
bethesda,MD,populated,30,2,40,0,41.9,"emergency-plumbers,water-line-repair"
cincinnati,OH,populated,1,1,35,0,45.9,"clogged-drain"
clearwater,FL,populated,4,1,35,0,11.9,"same-day-plumber"
cleveland,OH,populated,2,2,34,0,11.0,"24-hour-plumber,gas-line-repair"
norman,OK,populated,7,2,33,0,24.8,"bathroom-remodel-plumbing,water-line-repair"
oklahoma-city,OK,populated,32,1,33,0,40.9,"water-heater-repair"
carpentersville,IL,populated,132,2,31,0,6.6,"clogged-drain,emergency-plumbers"
ardmore,OK,populated,7,1,31,0,20.7,"emergency-plumbers"
geneva,IL,populated,95,2,31,0,9.9,"same-day-plumber,sewage-backup"
fox-lake,IL,populated,79,1,30,0,10.5,"water-heater-repair"
hammond,IN,populated,5,1,29,0,43.4,"same-day-plumber"
lafayette,CO,populated,40,5,28,0,5.5,"clogged-drain,emergency-plumbers,faucet-repair,garbage-disposal-repair,sump-pump-repair"
des-plaines,IL,populated,82,2,28,0,21.1,"licensed-plumber,sump-pump-repair"
san-jose,CA,populated,1,1,27,0,45.8,"garbage-disposal-repair"
chantilly,VA,populated,18,1,26,0,71.0,"no-hot-water"
johns-creek,GA,populated,1,1,26,0,48.8,"slab-leak-repair"
wheat-ridge,CO,populated,42,2,25,0,48.4,"drain-cleaning,low-water-pressure"
smyrna,TN,populated,11,3,24,0,13.0,"24-hour-plumber,faucet-repair,same-day-plumber"
lone-tree,CO,populated,5,1,24,0,22.7,"cheap-plumber"
thornton,CO,populated,42,2,24,0,6.6,"emergency-plumbers,water-heater-repair"
harvard,IL,populated,26,2,23,0,5.4,"emergency-plumbers,sump-pump-repair"
greenville,SC,populated,20,2,23,0,33.3,"repiping,sewer-line-replacement"
allentown,PA,populated,17,1,22,0,45.8,"drain-cleaning"
gaithersburg,MD,populated,26,1,22,0,70.0,"licensed-plumber"
mundelein,IL,populated,98,2,18,0,10.0,"bathroom-remodel-plumbing,clogged-drain"
canal-winchester,OH,populated,9,3,18,0,3.7,"burst-pipe-repair,emergency-plumbers,sewer-line-replacement"
silver-spring,MD,populated,25,1,18,0,55.8,"water-heater-repair"
fremont,CA,populated,16,1,16,0,19.8,"burst-pipe-repair"
st-petersburg,FL,populated,5,1,16,0,55.5,"licensed-plumber"
buffalo-grove,IL,populated,113,1,15,0,23.3,"clogged-drain"
moore,OK,populated,22,1,15,0,32.9,"slab-leak-repair"
centennial,CO,populated,10,1,15,0,67.8,"water-heater-repair"
land-o-lakes,FL,populated,4,1,14,0,65.1,"frozen-pipes"
racine,WI,populated,2,2,14,0,5.5,"gas-line-repair,slab-leak-repair"
largo,FL,populated,4,1,14,0,46.9,"water-line-repair"
bel-air,MD,populated,10,2,13,0,5.2,"hydro-jetting,same-day-plumber"
ken-caryl,CO,populated,17,2,12,0,11.5,"emergency-plumbers,sewage-backup"
round-lake,IL,populated,91,1,12,0,7.8,"hydro-jetting"
hayward,CA,populated,26,3,12,0,8.5,"low-water-pressure,plumber-cost,sewer-line-replacement"
canton,OH,populated,6,2,12,0,11.9,"plumber-cost,sewage-backup"
pikesville,MD,populated,5,1,12,0,13.5,"water-heater-repair"
broken-arrow,OK,populated,3,1,11,0,53.7,"bathroom-remodel-plumbing"
safety-harbor,FL,populated,8,2,11,0,57.2,"clogged-drain,no-hot-water"
tarpon-springs,FL,populated,5,1,11,0,58.1,"water-leak"
orland-park,IL,populated,22,2,10,0,54.9,"clogged-drain,water-line-repair"
commerce-city,CO,populated,40,1,10,0,25.8,"emergency-plumbers"
north-canton,OH,populated,24,1,10,0,14.5,"hydro-jetting"
san-luis-obispo,CA,populated,5,1,9,0,60.3,"cheap-plumber"
arnold,MD,populated,6,1,8,0,28.5,"24-hour-plumber"
bolingbrook,IL,populated,60,1,8,0,56.3,"licensed-plumber"
fitchburg,MA,populated,5,1,8,0,62.9,"licensed-plumber"
round-rock,TX,populated,17,1,8,0,64.3,"licensed-plumber"
hurricane,WV,populated,9,2,7,0,28.8,"24-hour-plumber,emergency-plumbers"
evans,CO,populated,3,2,7,0,19.3,"no-hot-water,repiping"
rockville,MD,populated,26,1,6,0,15.3,"bathroom-remodel-plumbing"
fort-worth,TX,populated,19,1,6,0,30.7,"cheap-plumber"
glen-burnie,MD,populated,7,1,6,0,22.2,"plumber-cost"
marengo,IL,populated,53,1,6,0,45.2,"sump-pump-repair"
richmond,CA,populated,19,1,5,0,41.6,"24-hour-plumber"
skokie,IL,populated,50,1,5,0,11.6,"clogged-drain"
duncan,OK,populated,9,1,5,0,19.6,"emergency-plumbers"
simpsonville,SC,populated,18,1,5,0,68.0,"plumber-cost"
broomfield,CO,populated,40,1,5,0,23.0,"slab-leak-repair"
calumet-city,IL,populated,9,1,5,0,42.8,"water-heater-repair"
oak-park,IL,populated,49,1,5,0,13.8,"water-heater-repair"
elk-grove-village,IL,populated,124,1,4,0,24.3,"24-hour-plumber"
charleston,WV,populated,7,2,4,0,7.5,"24-hour-plumber,sewer-repair"
south-elgin,IL,populated,123,1,4,0,12.5,"clogged-drain"
marble-falls,TX,populated,13,1,4,0,51.0,"emergency-plumbers"
berkeley,CA,populated,26,2,4,0,5.0,"low-water-pressure,plumber-cost"
clarendon-hills,IL,populated,72,1,4,0,22.0,"plumber-cost"
island-lake,IL,populated,116,1,4,0,25.8,"sump-pump-repair"
pasadena,MD,populated,6,1,4,0,29.8,"sump-pump-repair"
algonquin,IL,populated,121,1,3,0,15.7,"sump-pump-repair"
martinez,GA,populated,4,1,2,0,21.0,"cheap-plumber"
sedona,AZ,populated,7,1,2,0,22.5,"emergency-plumbers"
natchez,MS,populated,4,1,2,0,21.5,"emergency-plumbers"
bethlehem,PA,populated,17,1,2,0,9.5,"emergency-plumbers"
syracuse,UT,populated,1,1,2,0,39.0,"emergency-plumbers"
oakland,CA,populated,27,1,2,0,29.0,"faucet-repair"
munster,IN,populated,5,1,2,0,85.0,"faucet-repair"
gurnee,IL,populated,54,1,2,0,50.0,"frozen-pipes"
grove-city,OH,populated,7,1,2,0,9.5,"frozen-pipes"
cottonwood-heights,UT,populated,21,1,2,0,83.5,"garbage-disposal-repair"
prescott,AZ,populated,18,2,2,0,2.0,"kitchen-remodel-plumbing,water-line-repair"
claremore,OK,populated,1,1,2,0,25.5,"kitchen-remodel-plumbing"
fairfield,CA,populated,1,2,2,0,54.0,"licensed-plumber,slab-leak-repair"
decatur,AL,populated,6,1,2,0,49.0,"no-hot-water"
liberty-hill,TX,populated,17,1,2,0,61.0,"no-hot-water"
easton,PA,populated,17,1,1,0,9.0,"24-hour-plumber"
santa-maria,CA,populated,9,1,1,0,57.0,"cheap-plumber"
pittsfield,MA,populated,6,1,1,0,133.0,"emergency-plumbers"
muskogee,OK,populated,12,1,1,0,6.0,"emergency-plumbers"
daly-city,CA,populated,25,1,1,0,6.0,"faucet-repair"
berwyn,IL,populated,45,1,1,0,72.0,"faucet-repair"
del-city,OK,populated,31,1,1,0,10.0,"gas-line-repair"
oldsmar,FL,populated,8,1,1,0,8.0,"sewer-line-replacement"
towson,MD,populated,10,1,1,0,63.0,"slab-leak-repair"
lawton,OK,populated,1,1,1,0,11.0,"water-heater-repair"
lemont,IL,populated,53,1,1,0,10.0,"water-line-repair"
sterling,VA,populated,22,1,1,0,59.0,"water-line-repair"
